"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.00894902996315112,0.00893365895751498,0.00888475119858888,49228.9,0.95,0.00758267448117131,0.0103064889170347,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.000548722673964502,0.000530297691488846,0.000475471197150547,50000,0.95,0.000239103011239555,0.000900081250501878,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",0.00840030728918661,0.00839070692035431,0.00842247734150315,50000,0.95,0.00701486704399723,0.0098240854992449,0,100,NA,NA,NA,NA,NA
